Phone Model,Price,Ratings
"Apple iPhone SE (Black, 64 GB),  ₹37,900 , 27,049 Ratings "
"Apple iPhone SE (White, 64 GB),  ₹37,900 , 27,049 Ratings "
"Apple iPhone SE (Red, 64 GB),  ₹37,900 , 27,049 Ratings "
"Apple iPhone 8 (Gold, 64 GB),  ₹38,999 , 10,972 Ratings "
